"","outbreak_id","article_id","outbreak_start_day","outbreak_start_month","outbreak_start_year","outbreak_end_day","outbreak_end_month","outbreak_date_year","outbreak_duration_months","outbreak_size","outbreak_country","outbreak_location","cases_confirmed","cases_mode_detection","cases_suspected","cases_asymptomatic","asymptomatic_transmission","cases_severe_hospitalised","deaths","covidence_id","name_data_entry","double_extracted"
"1",2,6,"11","Feb 02","1975",NA,"Mar 03","1975",NA,NA,"South Africa","Johannesburg",3,"Molecular (PCR etc)",NA,NA,TRUE,"3",1,3795,"Rebecca Nash",0
"2",4,20,NA,"Aug 08","1968",NA,"Nov 11","1968","3",NA,"Germany, Yuogslavia","Marburg (23), Frankfurt am Main (6), Belgrade (2)",31,"Symptoms",NA,"1",TRUE,NA,7,2060,"Christian Morgenstern",0
"3",5,23,"18","Aug 08","1968","13","Nov 11","1968","3",NA,"Germany","Marburg, Frankfurt am Main",23,"Symptoms",NA,"1",TRUE,NA,5,2883,"Joseph",0
"4",6,23,"18","Oct 10","2012","7","Nov 11","2012",NA,NA,"Uganda","Kabale; Ibanda; Mbarara; Kampala",15,"Molecular (PCR etc)",NA,NA,FALSE,NA,4,2883,"Joseph",0
"5",7,21,NA,"Oct 10","1998",NA,"Aug 08","2000",NA,NA,"Congo, Dem. Rep.","Durba and Watsa villages",76,"Molecular (PCR etc)","33","0",TRUE,NA,NA,2762,"Kelly McCain",0
"6",10,33,NA,NA,"2005",NA,NA,"2005",NA,NA,"Angola",NA,252,"Not specified",NA,NA,FALSE,"0",227,2696,"Ruth McCabe",0
"7",12,42,NA,"Jul 07","2012","10","Nov 11","2012",NA,NA,"Uganda","Ibanda, Kabale and Kamwenge Districts",15,"Molecular (PCR etc)","11",NA,FALSE,NA,15,2241,"Ettie Unwin",0
"8",13,45,NA,"Oct 10","1998",NA,"May 05","1999",NA,NA,"Congo, Dem. Rep.","Durba and Watsa",73,"Symptoms",NA,NA,FALSE,"0",61,2759,"Jack Wardle",0
"9",14,49,"10","Jun 06","2007","14","Sep 09","2007",NA,NA,"Uganda","Kamwenge and Ibanda",4,"Molecular (PCR etc)",NA,NA,FALSE,"0",1,4693,"Jack Wardle",0
"10",17,57,NA,"Oct 10","1998",NA,"Sep 09","2000",NA,NA,"Congo, Dem. Rep.","Durba and Watsa",48,"Molecular (PCR etc)","106",NA,FALSE,"0",125,2819,"Cyril",0
"11",1,14,"17","1251763200","2014","28","1251763200","2014","NA","NA","Uganda","Kampala",1,"Molecular (PCR etc)","NA","NA",FALSE,"1",1,1930,"Joseph",1
"12",26,62,NA,NA,"2004",NA,NA,"2005",NA,NA,"Angola",NA,252,NA,NA,NA,FALSE,NA,227,1871,"Sabine",1
"13",8,31,NA,NA,"1998",NA,NA,"2000",NA,NA,"Congo, Dem. Rep.",NA,154,NA,NA,NA,FALSE,NA,128,1871,"Cyril",1
