"fixed","covidence_id","name_data_entry","outbreak_id","article_id","outbreak_start_day","outbreak_start_month","outbreak_start_year","outbreak_end_day","outbreak_end_month","outbreak_date_year","outbreak_duration_months","outbreak_size","asymptomatic_transmission","outbreak_country","outbreak_location","cases_confirmed","cases_mode_detection","cases_suspected","cases_asymptomatic","deaths","cases_severe_hospitalised","double_extracted","num_rows","matching"
NA,1613,"Dariya Nikitin",16,54,NA,"Oct 10","2004",NA,"Jul 07","2005",NA,NA,FALSE,"Angola","Uige Province",252,NA,NA,NA,227,0,1,1,0
NA,1613,"Patrick Doohan",18,59,NA,"Oct 10","2004",NA,"Jul 07","2005",NA,NA,FALSE,"Angola","Uige Province",252,"Molecular (PCR etc)",NA,NA,227,0,1,1,0
NA,1871,"Sabine",2,62,NA,NA,"1975",NA,NA,NA,NA,NA,FALSE,"South Africa",NA,3,NA,NA,NA,1,NA,1,1,0
NA,1871,"Cyril Geismar",8,31,NA,NA,"1998",NA,NA,"2000",NA,NA,FALSE,"Democratic Republic of the Congo",NA,154,NA,NA,NA,128,NA,1,1,0
NA,1871,"Cyril Geismar",9,31,NA,NA,"2004",NA,NA,"2005",NA,NA,FALSE,"Uganda",NA,252,NA,NA,NA,227,NA,1,1,0
NA,1871,"Sabine",20,62,NA,NA,"1967",NA,NA,NA,NA,NA,FALSE,"Germany;Yuogslavia",NA,31,NA,NA,NA,7,NA,1,1,0
NA,1871,"Sabine",21,62,NA,NA,"1980",NA,NA,NA,NA,NA,FALSE,"Kenya",NA,2,NA,NA,NA,1,NA,1,1,0
NA,1871,"Sabine",22,62,NA,NA,"1987",NA,NA,NA,NA,NA,FALSE,"Kenya",NA,1,NA,NA,NA,1,NA,1,1,0
NA,1871,"Sabine",23,62,NA,NA,"1988",NA,NA,NA,NA,NA,FALSE,"Russian Federation",NA,1,NA,NA,NA,1,NA,1,1,0
NA,1871,"Sabine",24,62,NA,NA,"1990",NA,NA,NA,NA,NA,FALSE,"Russian Federation",NA,1,NA,NA,NA,0,NA,1,1,0
NA,1871,"Sabine",25,62,NA,NA,"1998",NA,NA,"2000",NA,NA,FALSE,"Democratic Republic of the Congo",NA,154,NA,NA,NA,128,NA,1,1,0
NA,1871,"Sabine",26,62,NA,NA,"2004",NA,NA,"2005",NA,NA,FALSE,"Angola",NA,252,NA,NA,NA,227,NA,1,1,0
NA,1871,"Sabine",27,62,NA,NA,"2007",NA,NA,NA,NA,NA,FALSE,"Uganda",NA,4,NA,NA,NA,2,NA,1,1,0
NA,1871,"Sabine",28,62,NA,NA,"2008",NA,NA,NA,NA,NA,FALSE,"United States","Colorado",1,NA,NA,NA,0,NA,1,1,0
NA,1871,"Sabine",29,62,NA,NA,"2008",NA,NA,NA,NA,NA,FALSE,"Netherlands",NA,1,NA,NA,NA,1,NA,1,1,0
NA,1930,"Joseph",1,14,"17","Sep 09","2014","28","Sep 09","2014",NA,NA,FALSE,"Uganda","Kampala",1,"Molecular (PCR etc)",0,"0",1,1,1,1,0
NA,1930,"Anne Cori",3,12,"17","Sep 09","2018","17","Sep 09","2018",0,NA,FALSE,"Uganda","Kampala",1,"Molecular (PCR etc)",NA,NA,1,NA,1,1,0
NA,2032,"Gina",15,50,NA,"Sep 09","2012","13","Nov 11","2012",NA,NA,FALSE,"Uganda","Ibanda and Kabale",9,"Molecular (PCR etc)",5,NA,7,NA,1,1,0
NA,2032,"Jack Wardle",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
